53.00	160.11	35.0	3.5
54.55	161.58	30.0	2.5
53.55	162.13	0.0	5.7
53.66	162.07	0.0	3.2
52.44	160.35	0.0	2.1
55.44	162.59	25.0	2.5
56.13	164.17	0.0	3.2
54.52	161.93	30.0	2.2
52.66	160.31	0.0	2.8
51.97	158.72	25.0	2.4
53.61	160.74	0.0	2.7
55.18	161.60	65.0	3.0
54.33	162.66	5.0	3.1
52.88	159.88	20.0	1.6
52.12	158.96	35.0	2.9
52.50	160.27	5.0	3.6
54.50	160.73	90.0	2.2
52.58	159.21	0.0	2.0
53.76	161.69	0.0	2.8
53.63	160.66	0.0	2.5
52.61	160.27	5.0	1.9
52.42	160.68	0.0	3.6
52.98	160.39	30.0	1.7
54.11	161.16	65.0	2.0
53.79	159.32	0.0	2.4
55.73	162.25	0.0	4.4
54.88	162.30	15.0	3.0
55.78	162.26	0.0	1.4
55.48	163.11	5.0	1.6
55.42	163.25	5.0	2.5
53.82	159.59	5.0	2.1
52.72	159.55	10.0	3.5
53.58	160.59	30.0	3.2
53.44	161.43	60.0	2.0
52.79	159.69	15.0	1.8
55.07	162.42	20.0	2.2
50.85	157.53	135.0	3.3
54.09	164.04	20.0	2.5
52.77	160.04	0.0	2.2
52.64	160.42	0.0	3.8
55.99	161.40	105.0	1.7
54.18	161.12	40.0	3.4
53.26	160.26	25.0	1.8
52.86	161.44	0.0	2.9
52.62	159.58	20.0	1.7
54.56	164.25	20.0	2.8
56.40	161.89	60.0	2.3
53.14	160.52	30.0	2.5
54.85	162.31	5.0	3.1
55.63	161.64	75.0	1.8
53.72	160.95	0.0	2.5
53.81	160.66	0.0	2.0
56.29	162.83	0.0	2.8
53.73	161.55	0.0	2.6
52.71	159.70	5.0	1.9
53.56	159.48	115.0	1.9
52.52	158.21	100.0	3.3
54.90	161.84	35.0	4.0
54.83	163.13	0.0	3.6
56.22	162.74	0.0	2.5
55.57	162.17	0.0	3.0
54.89	161.90	35.0	3.0
54.36	162.23	10.0	2.6
56.21	162.64	5.0	2.5
53.36	159.29	75.0	2.0
52.32	159.43	0.0	2.3
52.92	160.66	25.0	3.3
53.79	161.14	5.0	2.7
52.85	160.21	20.0	2.2
53.40	159.70	5.0	2.6
52.85	158.40	165.0	5.3
54.64	162.12	20.0	2.5
52.58	159.18	50.0	2.1
53.54	160.97	5.0	2.4
53.39	160.56	35.0	2.2
54.93	162.26	0.0	3.0
56.07	161.25	90.0	1.9
53.69	160.99	0.0	4.0
55.38	163.39	15.0	2.8
56.21	162.67	0.0	2.1
53.70	160.55	5.0	2.0
53.61	161.80	0.0	3.2
55.74	162.13	0.0	1.8
55.39	160.55	185.0	2.6
55.00	162.04	0.0	2.5
52.73	160.38	0.0	2.0
56.95	162.35	15.0	3.6
56.67	161.70	15.0	2.3
55.80	161.48	90.0	1.7
52.91	159.65	110.0	2.3
55.95	163.31	5.0	2.3
55.50	162.89	0.0	2.6
55.65	162.04	60.0	3.2
53.09	160.41	30.0	2.4
53.59	156.86	0.0	2.3
54.93	163.39	175.0	2.1
54.28	159.80	185.0	2.5
54.89	164.50	120.0	2.9
53.61	160.35	0.0	2.0
53.63	160.54	15.0	3.2
48.83	157.43	125.0	4.7
54.55	160.33	90.0	3.0
55.79	162.08	20.0	1.9
52.81	159.60	40.0	1.7
53.40	160.43	35.0	2.4
55.81	162.05	10.0	2.1
55.81	162.10	0.0	2.3
48.90	157.18	105.0	4.7
51.92	154.10	550.0	3.4
52.27	160.21	100.0	2.9
55.63	160.90	160.0	2.1
54.68	163.22	0.0	4.2
54.72	164.86	50.0	2.8
52.51	158.32	5.0	2.2
55.79	162.14	10.0	1.8
56.04	160.72	0.0	3.1
56.00	160.68	0.0	3.5
56.10	160.63	0.0	3.0
55.97	160.74	10.0	2.8
56.04	160.73	0.0	2.3
56.00	160.73	0.0	2.5
56.00	160.69	0.0	2.3
56.54	162.00	0.0	2.8
55.99	160.72	0.0	2.5
54.38	162.27	20.0	2.7
53.40	159.65	140.0	2.3
49.24	157.41	50.0	3.5
54.32	162.59	0.0	2.6
53.04	161.08	20.0	3.1
53.77	161.26	5.0	4.7
52.69	158.65	85.0	2.3
53.72	161.58	20.0	2.4
54.36	169.14	200.0	2.9
49.13	156.37	100.0	4.7
53.47	159.66	70.0	3.5
51.89	159.59	10.0	4.2
51.75	159.78	0.0	3.9
52.37	160.40	0.0	2.8
56.01	160.78	15.0	2.5
51.81	158.94	35.0	3.2
53.37	159.87	5.0	2.0
55.99	163.05	25.0	3.0
56.05	162.77	30.0	2.7
55.33	160.68	135.0	2.3
52.48	159.98	0.0	3.0
52.39	159.39	15.0	5.6
52.26	159.50	0.0	2.8
51.71	160.41	35.0	2.6
56.27	163.06	25.0	2.2
56.34	161.51	80.0	2.3
52.52	160.14	10.0	3.7
52.62	160.25	0.0	3.0
55.19	162.17	10.0	1.8
53.26	161.34	75.0	2.6
55.96	161.97	15.0	2.3
55.96	163.67	5.0	4.1
53.21	159.96	45.0	2.5
54.40	161.76	50.0	2.2
54.33	161.81	35.0	5.5
52.28	159.39	0.0	3.2
55.54	162.41	25.0	4.6
52.41	160.35	35.0	3.3
52.75	162.61	0.0	3.2
55.09	163.34	25.0	4.9
56.09	160.59	0.0	2.0
53.51	161.33	5.0	2.8
52.70	160.18	15.0	2.3
52.95	158.80	35.0	2.4
53.78	160.76	0.0	2.4
53.37	160.49	20.0	5.4
52.48	158.48	5.0	2.3
52.93	159.14	0.0	1.7
55.08	162.49	5.0	2.2
56.01	160.69	0.0	2.3
56.02	160.72	15.0	2.2
53.38	160.29	45.0	3.3
55.08	162.56	25.0	4.9
53.33	160.42	30.0	2.9
51.13	158.69	15.0	3.2
53.11	159.65	30.0	2.0
56.00	160.72	0.0	2.4
55.21	161.44	105.0	2.2
55.10	162.45	5.0	2.9
52.98	158.93	0.0	3.0
52.41	159.61	20.0	1.8
51.66	157.88	15.0	2.7
54.17	168.83	15.0	3.3
52.45	160.00	30.0	2.4
56.03	160.74	0.0	3.5
56.06	160.63	0.0	1.2
55.47	162.08	30.0	2.4
55.51	162.15	15.0	4.4
51.58	158.33	55.0	2.8
53.12	172.35	10.0	4.5
53.85	168.34	110.0	4.0
52.70	162.93	0.0	3.2
53.19	160.75	20.0	4.2
54.96	161.77	80.0	2.0
52.56	159.70	30.0	2.2
52.70	170.13	155.0	4.1
54.25	161.57	20.0	3.5
54.60	161.42	0.0	2.1
55.81	162.51	0.0	3.2
52.40	158.83	60.0	3.6
52.74	160.31	20.0	4.7
52.62	160.35	50.0	2.6
55.72	162.52	30.0	1.9
55.65	162.35	0.0	3.1
55.20	158.85	0.0	2.0
53.40	160.25	50.0	2.5
55.75	161.58	75.0	3.6
52.89	172.58	10.0	4.1
53.07	159.85	60.0	2.0
49.00	155.34	240.0	3.7
55.91	159.82	50.0	2.8
52.51	159.78	5.0	1.6
53.29	160.48	40.0	1.8
53.16	159.30	10.0	2.1
55.13	162.57	5.0	3.3
55.55	161.77	90.0	1.6
52.60	159.74	20.0	4.8
52.59	159.73	10.0	3.2
52.68	159.68	55.0	1.4
52.65	159.67	35.0	2.0
52.67	159.69	55.0	1.7
52.67	159.66	45.0	1.7
51.76	159.49	40.0	5.7
52.27	159.65	0.0	5.7
52.34	159.44	0.0	2.8
52.09	159.98	5.0	3.3
52.27	159.57	0.0	2.6
53.68	161.18	30.0	2.0
52.23	159.69	5.0	3.1
52.29	159.55	0.0	2.3
52.30	159.49	5.0	1.8
52.20	159.54	0.0	2.8
52.40	159.25	0.0	6.4
52.27	159.55	0.0	2.8
52.18	159.65	0.0	2.6
52.27	159.54	0.0	2.4
52.28	159.37	0.0	2.3
52.48	159.30	0.0	3.9
